Job Title,Alternative Job Titles,Description keywords
Plant Manager,commercial site manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
Plant Manager,facility manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
freight forwarder,customers broker,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment director",hse director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment director",health director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment director",safety director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment director",environment director,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment manager",hse manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment manager",health manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment manager",safety manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"health, safety, and environment manager",environment manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
heavy-lift crane operator,crane operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
heavy-lift supervisor,supervisor,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""heavy"""
heavy-lift supervisor,manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""heavy"""
hse engineer,"health, safety, and environment engineer","""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hse engineer,health engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hse engineer,safety engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hse engineer,environment engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
human resource representative,hr representative,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
human resources manager,hr manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hvac installer,refrigeration installer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hydraulics technician,hydraulic technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hydraulics technician,hydraulic mechanic,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
hydraulics technician,hydraulic fitter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery electrician,industry machinery controller,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery electrician,machinery controller,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery electrician,machinery electrician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery mechanic,industry machinery mechanic,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery mechanic,machinery mechanic,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial machinery mechanic,industrial mechanic,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,industrial truck operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,industrial tractor operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,truck operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,tractor operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,truck driver,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
industrial truck and tractor operator,tractor driver,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
information technology manager,it manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
information technology manager,it supervisor,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
information technology manager,information technology supervisor,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
expediting manager,inspection manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"installation, maintenance, and repair worker helper",worker,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
"installation, maintenance, and repair worker helper",helper,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
insulating machine operator,insulation systems operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project""  AND ""repair"" AND ""install"" AND ""maintain"""
insulating machine operator,insulation machine technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project""  AND ""repair"" AND ""install"" AND ""maintain"""
insulating machine operator,insulation machine operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project""  AND ""repair"" AND ""install"" AND ""maintain"""
insurance specialist,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
laser operator,operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""laser"""
laser operator,technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""laser"""
laser operator,mechanic,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""laser"""
lawyer,counsel,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
auxilliary crane operator,main crane operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
materials scientist,coatings engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal cutter,sheet metal worker,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal cutter,plasma cutting operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal cutter,machinist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal cutter,metal saw operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal cutter,metal cutting,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal grinder,grinding machine operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal grinder,precision grinder,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal grinder,metal finisher,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
metal grinder,surface grinder,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
paralegal,legal assistant,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
pipefitter,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
pipefitter support,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
plater,metalizer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
platform structure inspector,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
plumber,,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,chief executive,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,president of strategy and operations,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,ceo of strategy and operations,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,chief financial officer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,ceo of strategy,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,president of strategy,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,ceo of operations,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
president/ceo of strategy and operations,president of operations,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
